id;cnContent
10001;我们不该把汽车停在冰湖旁。汽车因为轮胎打滑，连带着我们的物资一起滑落入冰湖。经过抢救，我们保住了一些东西，但失去的远比留下的多。躲入雪屋后，雪潮奔涌而来。大雪将一切都覆盖了。现在，我们只希望能够被救援队早些发现。
10002;我们在冰湖中丧失了几乎所有的物资。天气太冷了，我们选择了一个可以生火的木屋，希望能在屋里喝点热水。然后雪崩发生了，我们紧紧抱在一起祈祷着小屋不要崩塌。积雪堵死了屋子的所有出口，我们没办法离开这里。抢救到的物资还都在身边，我们要利用这些物资生活下去，等待救援。
10003;失控滑进湖里的汽车，让我们几乎失去所有物资。雪越来越大，我们就近选择一座有些破旧的木屋躲避风雪。突然屋外响起“轰隆隆”的声音，雪崩了！万幸，木屋没有被压垮。但所有的出口都被积雪覆盖住了。
10004;车上的一切都沉入湖底。我们狼狈的躲进木屋取暖。一声惊雷，唤醒了雪山，奔涌的雪掩埋了一切。屋子被积雪堵死了，门和窗都打不开。我们被困在了这座屋内，暂时没有逃出去的任何办法，只能被动的等待救援。希望在食物吃完之前，救援队能够找到我们。
10005;木制的承重柱不时发出“吱啊”的声响，似乎随时都会被压倒。车落进湖里，我们被积雪困在了这间屋子内。倒霉的事情一件接一件的发生，我们已经没有了争吵的力气。现在，我们只希望能够被救援队早些发现。
10006;屋内的木椅又小又硬，我们想念家里的大沙发。
10007;沙沙的声音充满屋子，也许是我们太疲惫了。
10008;想念家里的电视。
10009;今天的电视节目会播放什么样的剧情呢？想看电视了。
10010;地下通道幽暗深邃，地下会有什么呢？
11006;休息过后，我们的疲惫有所缓解。屋内不自然的气流声让我们发现屋子一角的地板下藏着一道铁门。打开铁门，一股空气涌入房间，眼前是一个黝黑的洞口，洞口下藏着未知的空间。或许我们可以通过洞口，从地下离开这里。
11007;屋子里时不时响起奇怪的声响。声音是从屋子的角落传来。我们靠近过去，发现地板下面藏着一个铁盖子。用铁锹的一端把盖子翘起，盖子下面是漆黑的洞口。或许是之前的避难者凿出的洞口，希望下面有能够帮助我们离开这里的东西。
11008;在屋子的地板下，我们发现了一个隐藏的地下空间。我们对地下空间的景象感到不可思议，一池发光的泉水和一条漆黑的隧道。泉水很是清澈，味道也不错，帮助我们解决了饮水的问题。幽黑的隧道里，又会有什么？
11009;屋子的地板下隐藏着通向地下的通道。地下空间内是一池发光的泉水和一条漆黑的隧道。我们尝试向隧道内探索，但没多远，便迷失了对方的方位，我们只好沿着原路返回。一起探索隧道并不行得通，我们需要一个领路的前锋。幽黑的隧道内也许就藏着离开这里的方法。
11010;我们决定派出前锋前往探索幽深的隧道。
30001;推进剧情需要付出一点代价，你愿意付出吗？
30002;推进剧情需要付出一点代价，你愿意付出吗？
30003;推进剧情需要付出一点代价，你愿意付出吗？
30004;推进剧情需要付出一点代价，你愿意付出吗？
30005;推进剧情需要付出一点代价，你愿意付出吗？
30006;推进剧情需要付出一点代价，你愿意付出吗？
30007;推进剧情需要付出一点代价，你愿意付出吗？
30008;推进剧情需要付出一点代价，你愿意付出吗？
30009;推进剧情需要付出一点代价，你愿意付出吗？
30010;推进剧情需要付出一点代价，你愿意付出吗？
30011;推进剧情需要付出一点代价，你愿意付出吗？
30012;推进剧情需要付出一点代价，你愿意付出吗？
40001;咚咚咚，敲门声响起来了，是否要打开门？
40002;咚咚咚，敲门声响起来了，是否要打开门？
40003;咚咚咚，敲门声响起来了，是否要打开门？
40004;咚咚咚，敲门声响起来了，是否要打开门？
40005;咚咚咚，敲门声响起来了，是否要打开门？
40006;咚咚咚，敲门声响起来了，是否要打开门？
40007;咚咚咚，敲门声响起来了，是否要打开门？
40008;咚咚咚，敲门声响起来了，是否要打开门？
50001;咚咚咚，敲门声响起来了，是否要打开门？
50002;咚咚咚，敲门声响起来了，是否要打开门？
50003;咚咚咚，敲门声响起来了，是否要打开门？
50004;咚咚咚，敲门声响起来了，是否要打开门？
50005;咚咚咚，敲门声响起来了，是否要打开门？
50006;咚咚咚，敲门声响起来了，是否要打开门？
50007;咚咚咚，敲门声响起来了，是否要打开门？
50008;咚咚咚，敲门声响起来了，是否要打开门？
60001;xx怀念在家看电视剧的日子
60002;xx怀念在家玩猫的日子
60003;xx怀念在家看电视剧的日子
60004;xx怀念在家玩猫的日子
60005;xx怀念在家看电视剧的日子
60006;xx怀念在家玩猫的日子
60007;xx怀念在家看电视剧的日子
60008;xx怀念在家玩猫的日子
60009;xx怀念在家看电视剧的日子
60010;xx怀念在家玩猫的日子
60011;xx怀念在家看电视剧的日子
60012;xx怀念在家玩猫的日子
60013;xx怀念在家看电视剧的日子
60014;xx怀念在家玩猫的日子
60015;xx怀念在家看电视剧的日子
60016;xx怀念在家玩猫的日子
70001;一只鲨鱼从泉水中浮现了出来，它提出了一项交易，你是否要跟他交换？
70002;一只胖头海豚浮现在泉水里。你是掉了道具A、道具B还是道具C？
70003;一只海马出现了，想和我们达成一些交易
70004;一只鲨鱼从泉水中浮现了出来，它提出了一项交易，你是否要跟他交换？
70005;一只胖头海豚浮现在泉水里。你是掉了道具A、道具B还是道具C？
70006;一只海马出现了，想和我们达成一些交易
70007;一只鲨鱼从泉水中浮现了出来，它提出了一项交易，你是否要跟他交换？
70008;一只胖头海豚浮现在泉水里。你是掉了道具A、道具B还是道具C？
70009;一只海马出现了，想和我们达成一些交易
70010;一只鲨鱼从泉水中浮现了出来，它提出了一项交易，你是否要跟他交换？
70011;一只胖头海豚浮现在泉水里。你是掉了道具A、道具B还是道具C？
70012;一只海马出现了，想和我们达成一些交易
70013;一只鲨鱼从泉水中浮现了出来，它提出了一项交易，你是否要跟他交换？
70014;一只胖头海豚浮现在泉水里。你是掉了道具A、道具B还是道具C？
70015;一只海马出现了，想和我们达成一些交易
70016;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70017;兜帽男向我们表达了歉意，脱下了兜帽，告诉我们他是人鱼王国的王子，在找三叉戟，继承王位。但十分饥饿，需要我们提供帮助。
70018;金鱼公主想和我们交换礼物，我们应该给她什么？
70019;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70020;兜帽男向我们表达了歉意，脱下了兜帽，告诉我们他是人鱼王国的王子，在找三叉戟，继承王位。但十分饥饿，需要我们提供帮助。
70021;金鱼公主想和我们交换礼物，我们应该给她什么？
70022;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70023;兜帽男向我们表达了歉意，脱下了兜帽，告诉我们他是人鱼王国的王子，在找三叉戟，继承王位。但十分饥饿，需要我们提供帮助。
70024;金鱼公主想和我们交换礼物，我们应该给她什么？
70025;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70026;兜帽男向我们表达了歉意，脱下了兜帽，告诉我们他是人鱼王国的王子，在找三叉戟，继承王位。但十分饥饿，需要我们提供帮助。
70027;金鱼公主想和我们交换礼物，我们应该给她什么？
70028;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70029;兜帽男向我们表达了歉意，脱下了兜帽，告诉我们他是人鱼王国的王子，在找三叉戟，继承王位。但十分饥饿，需要我们提供帮助。
70030;金鱼公主想和我们交换礼物，我们应该给她什么？
70031;灯笼鱼从通道口冒了出来，但已经不发光了，它的头灯坏了。希望我们能帮助它找到头灯的替代品。
70032;金鱼公主想和我们交换礼物，我们应该给她什么？
80001;所有的一切已经准备就绪，也许是时候迈出前往探索的第一步，那么由谁来开启探索的旅程呢？
80002;命运已经做出了选择，踏向未知世界的第一步，该由谁开启？
80003;已经做好了准备，是时候再次出发，由谁来前进？
80004;我们需要进一步的探索这个未知的世界，由谁来领路？
80005;或许前方能为我们带来希望，谁能率领我们走向新世界？
80006;所有的一切已经准备就绪，也许是时候迈出前往探索的第一步，那么由谁来开启探索的旅程呢？
80007;命运已经做出了选择，踏向未知世界的第一步，该由谁开启？
