id;cnContent;enContent
10001;罐头;
10002;电池;
10003;游戏机;
10004;鱼竿;
10005;鱼线;
10006;美人鱼;
10007;电灯;
10008;小鹿玩偶;
10009;飞行棋;
10010;无线电对讲机;
10011;滑雪板;
10012;平底锅;
10013;斧头;
10014;打火机;
10015;口琴;
10016;厨师刀;
20001;罐头损毁;
20002;电池损毁;
20003;游戏机损毁;
20004;鱼竿损毁;
20005;鱼线损毁;
20006;美人鱼损毁;
20007;电灯损毁;
20008;小鹿玩偶损毁;
20009;飞行棋损毁;
20010;无线电对讲机损毁;
20011;滑雪板损毁;
20012;平底锅损毁;
20013;斧头损毁;
20014;打火机损毁;
20015;口琴损毁;
20016;厨师刀损毁;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
